,neighbourhood_group,room_type,price,property_type,accommodates,bedrooms,bathrooms
4664,Queens,Private room,75,Private Room,2,1.0,1.0
4665,Queens,Private room,75,Private Room,2,1.0,1.0
4666,Queens,Private room,37,Private Room,1,1.0,1.0
4669,Brooklyn,Entire home/apt,97,Private Room,4,2.0,1.0
4671,Manhattan,Entire home/apt,245,Entire Unit,4,2.0,1.0
4677,Brooklyn,Entire home/apt,120,Entire Unit,4,2.0,1.0
4679,Manhattan,Entire home/apt,159,Entire Unit,3,0.0,1.0
4682,Manhattan,Entire home/apt,165,Entire Unit,2,1.0,1.0
4685,Brooklyn,Entire home/apt,165,Entire Unit,2,1.0,1.0
4686,Manhattan,Entire home/apt,200,Entire Unit,2,1.0,1.0
4687,Queens,Private room,100,Private Room,1,1.0,1.0
4690,Manhattan,Entire home/apt,200,Entire Unit,5,2.0,1.0
4694,Manhattan,Entire home/apt,249,Entire Unit,3,1.0,1.0
4700,Queens,Private room,75,Private Room,1,1.0,1.0
4701,Manhattan,Entire home/apt,150,Entire Unit,2,1.0,1.0
4708,Manhattan,Entire home/apt,180,Entire Unit,6,2.0,1.0
4709,Manhattan,Private room,42,Private Room,2,1.0,2.0
4710,Manhattan,Private room,65,Private Room,2,1.0,1.0
4711,Manhattan,Entire home/apt,190,Entire Unit,2,2.0,1.5
4712,Brooklyn,Private room,98,Private Room,1,1.0,1.0
4713,Manhattan,Entire home/apt,250,Entire Unit,3,1.0,1.0
4714,Brooklyn,Private room,55,Private Room,2,1.0,2.0
4719,Queens,Private room,59,Private Room,1,1.0,1.0
4720,Brooklyn,Entire home/apt,98,Entire Unit,2,1.0,1.0
4721,Brooklyn,Private room,69,Private Room,2,1.0,1.5
4724,Manhattan,Private room,90,Private Room,2,1.0,1.0
4726,Brooklyn,Entire home/apt,100,Entire Unit,4,1.0,1.0
4730,Manhattan,Private room,199,Entire Unit,4,1.0,1.0
4731,Manhattan,Private room,75,Private Room,1,1.0,1.0
4732,Brooklyn,Entire home/apt,225,Entire Unit,2,0.0,1.0
4733,Manhattan,Entire home/apt,125,Entire Unit,2,1.0,1.0
4734,Staten Island,Private room,99,Private Room,3,2.0,2.0
4736,Brooklyn,Private room,150,Private Room,1,1.0,1.0
