id,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds
40534352,Entire rental unit,Entire home/apt,2,1 bath,1,1
40535156,Entire rental unit,Entire home/apt,3,1 bath,1,3
40536398,Private room in rental unit,Private room,2,1 shared bath,1,1
40536570,Entire rental unit,Entire home/apt,3,1 bath,2,2
40537018,Private room in rental unit,Private room,2,1 shared bath,1,1
40537723,Private room in home,Private room,1,1 shared bath,1,1
40538432,Private room in rental unit,Private room,2,1 shared bath,1,1
40538599,Entire rental unit,Entire home/apt,2,1 bath,1,2
40538776,Private room in rental unit,Private room,2,1 shared bath,1,1
40547488,Private room in rental unit,Private room,2,1 shared bath,1,2
40558329,Private room in rental unit,Private room,2,1 shared bath,1,1
40558396,Private room in rental unit,Private room,3,1 shared bath,1,1
40559773,Private room in rental unit,Private room,2,1 shared bath,1,1
40560656,Room in boutique hotel,Hotel room,2,,,
40561443,Private room in rental unit,Private room,1,2 baths,1,1
40563247,Entire rental unit,Entire home/apt,2,1 bath,1,1
40563519,Private room in rental unit,Private room,2,1 shared bath,1,1
40564631,Room in hotel,Private room,2,1 bath,,1
40565556,Entire condo,Entire home/apt,2,1 bath,1,1
40569633,Entire rental unit,Entire home/apt,2,1 bath,1,1
40569773,Entire rental unit,Entire home/apt,2,1.5 baths,1,2
40570292,Private room in rental unit,Private room,1,1 shared bath,1,1
40571315,Private room in rental unit,Private room,3,1 private bath,1,2
40576966,Entire rental unit,Entire home/apt,4,2 baths,2,3
40578920,Private room in rental unit,Private room,3,1 shared bath,1,2
40582333,Entire rental unit,Entire home/apt,4,1 bath,2,2
40582472,Entire rental unit,Entire home/apt,4,1 bath,1,1
40584021,Entire condo,Entire home/apt,2,1 bath,1,1
40586085,Private room in rental unit,Private room,2,1 shared bath,1,1
40586837,Entire rental unit,Entire home/apt,5,1 bath,2,3
40587039,Entire condo,Entire home/apt,2,1.5 baths,1,1
40587185,Entire rental unit,Entire home/apt,2,1 bath,1,1
40587568,Private room in condo,Private room,2,1 shared bath,1,1
40587995,Private room in condo,Private room,4,1 shared bath,1,2
40591061,Private room in rental unit,Private room,2,1 shared bath,1,1
40591866,Entire rental unit,Entire home/apt,4,1 bath,2,2
40592120,Entire rental unit,Entire home/apt,4,1 bath,1,2
40592964,Shared room in rental unit,Shared room,2,2 shared baths,1,4
40595086,Private room in rental unit,Private room,1,1 bath,1,1
40597710,Private room in rental unit,Private room,1,1 bath,1,
40598227,Private room in home,Private room,2,1.5 shared baths,1,1
40598720,Private room in condo,Private room,1,1 shared bath,1,1
40599033,Private room in rental unit,Private room,2,1.5 shared baths,1,
40599703,Private room in rental unit,Private room,1,1 private bath,1,1
40606522,Entire condo,Entire home/apt,4,1 bath,1,3
40608762,Entire rental unit,Entire home/apt,7,1 bath,2,3
40609969,Entire rental unit,Entire home/apt,6,2 baths,3,6
40611604,Entire rental unit,Entire home/apt,4,1 bath,1,3
40612147,Entire rental unit,Entire home/apt,2,1 bath,1,1
40613498,Entire rental unit,Entire home/apt,5,1 bath,3,3
40614603,Private room in home,Private room,2,1 shared bath,1,1
40615352,Private room in rental unit,Private room,2,1 shared bath,1,2
40616073,Entire rental unit,Entire home/apt,6,1 bath,3,4
40616776,Entire rental unit,Entire home/apt,3,1 bath,1,1
40617954,Entire rental unit,Entire home/apt,3,1 bath,1,1
40618044,Entire rental unit,Entire home/apt,2,1 bath,1,1
40618583,Entire rental unit,Entire home/apt,4,1 bath,2,2
40619768,Private room in rental unit,Private room,2,1 shared bath,1,1
40620489,Entire rental unit,Entire home/apt,10,2 baths,3,3
40621087,Entire rental unit,Entire home/apt,4,1 bath,4,4
40623330,Shared room in rental unit,Shared room,2,2 shared baths,1,4
40623829,Shared room in rental unit,Shared room,2,2 shared baths,1,4
40623849,Private room in bed and breakfast,Private room,2,2 shared baths,1,1
40624017,Shared room in rental unit,Shared room,2,2 shared baths,1,8
40624194,Shared room in rental unit,Shared room,2,2.5 shared baths,1,4
40624298,Shared room in rental unit,Shared room,2,2 shared baths,1,4
40624423,Shared room in rental unit,Shared room,2,2.5 shared baths,1,4
40624525,Shared room in rental unit,Shared room,2,2.5 shared baths,1,4
40633892,Private room in rental unit,Private room,2,1.5 baths,1,1
40639790,Entire rental unit,Entire home/apt,4,1 bath,2,3
40640280,Entire rental unit,Entire home/apt,2,1 bath,1,1
40640771,Private room in rental unit,Private room,2,1 shared bath,1,1
