,neighbourhood_group,room_type,property_type,accommodates,bedrooms,bathrooms,log_price
11492,Manhattan,Private room,Private Room,1,1.0,1.0,4.31748811353631
11494,Queens,Entire home/apt,Entire Unit,4,3.0,2.0,5.298317366548036
11498,Manhattan,Entire home/apt,Entire Unit,4,1.0,1.0,4.553876891600541
11499,Brooklyn,Private room,Private Room,1,1.0,1.0,3.091042453358316
11500,Manhattan,Private room,Private Room,1,2.0,1.0,5.0106352940962555
11505,Brooklyn,Entire home/apt,Entire Unit,2,0.0,1.0,4.605170185988092
11506,Brooklyn,Entire home/apt,Entire Unit,6,2.0,1.5,5.0106352940962555
11508,Brooklyn,Private room,Private Room,4,1.0,1.0,3.8066624897703196
11509,Brooklyn,Entire home/apt,Entire Unit,3,1.0,1.0,5.075173815233827
11511,Manhattan,Private room,Private Room,2,1.0,1.0,5.703782474656201
11512,Brooklyn,Private room,Private Room,2,1.0,1.0,4.007333185232471
11515,Manhattan,Private room,Private Room,1,0.0,1.0,4.787491742782046
11517,Manhattan,Private room,Private Room,2,1.0,1.0,4.6913478822291435
11518,Manhattan,Entire home/apt,Entire Unit,2,0.0,1.0,4.499809670330265
11520,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.0106352940962555
11521,Queens,Private room,Private Room,2,1.0,1.0,4.382026634673881
11523,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,4.605170185988092
11524,Brooklyn,Entire home/apt,Entire Unit,4,0.0,1.0,4.553876891600541
11525,Manhattan,Shared room,Entire Unit,1,1.0,1.5,4.442651256490317
11526,Brooklyn,Entire home/apt,Entire Unit,5,2.0,1.0,4.653960350157523
11530,Manhattan,Private room,Private Room,2,1.0,1.0,3.9512437185814275
11531,Manhattan,Entire home/apt,Entire Unit,3,2.0,1.0,5.298317366548036
11532,Queens,Private room,Private Room,2,1.0,1.0,3.912023005428146
11536,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.8283137373023015
11538,Brooklyn,Private room,Private Room,1,1.0,1.0,3.4011973816621555
11539,Brooklyn,Private room,Private Room,2,1.0,1.0,4.23410650459726
11541,Manhattan,Private room,Private Room,1,1.0,1.0,3.8918202981106265
11542,Bronx,Private room,Private Room,2,1.0,1.0,3.912023005428146
11543,Manhattan,Entire home/apt,Entire Unit,4,2.0,1.0,5.298317366548036
11544,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,5.0106352940962555
11547,Brooklyn,Entire home/apt,Entire Unit,3,1.0,1.0,4.5217885770490405
11552,Manhattan,Private room,Private Room,2,3.0,1.0,4.0943445622221
11553,Manhattan,Private room,Private Room,2,1.0,1.0,4.23410650459726
11554,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.382026634673881
11555,Manhattan,Entire home/apt,Entire Unit,2,0.0,1.0,5.0106352940962555
11558,Brooklyn,Entire home/apt,Entire Unit,3,1.0,1.0,4.23410650459726
11559,Manhattan,Entire home/apt,Entire Unit,4,1.0,1.0,4.700480365792417
11565,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,4.290459441148391
11566,Manhattan,Entire home/apt,Entire Unit,1,1.0,1.0,4.976733742420574
11572,Manhattan,Entire home/apt,Entire Unit,5,3.0,1.5,5.241747015059643
11573,Brooklyn,Private room,Private Room,2,1.0,1.0,4.0943445622221
11575,Queens,Entire home/apt,Entire Unit,2,0.0,1.0,5.293304824724492
11579,Brooklyn,Private room,Private Room,3,1.0,1.5,3.912023005428146
11580,Brooklyn,Private room,Private Room,1,1.0,1.0,3.2188758248682006
11581,Manhattan,Entire home/apt,Entire Unit,6,2.0,1.0,5.68697535633982
11583,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,5.0106352940962555
11587,Brooklyn,Entire home/apt,Entire Unit,3,1.0,1.0,4.852030263919617
11588,Brooklyn,Private room,Private Room,2,1.0,1.0,3.912023005428146
11594,Queens,Entire home/apt,Entire Unit,3,1.0,1.0,5.0106352940962555
11596,Manhattan,Entire home/apt,Entire Unit,3,1.0,1.0,5.700443573390687
11598,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.04305126783455
11604,Manhattan,Private room,Private Room,1,1.0,1.0,4.499809670330265
11606,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,5.298317366548036
11614,Bronx,Entire home/apt,Entire Unit,2,0.0,1.0,4.23410650459726
11617,Manhattan,Entire home/apt,Entire Unit,2,0.0,1.0,4.74493212836325
11618,Queens,Entire home/apt,Entire Unit,4,1.0,1.0,4.8283137373023015
11621,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,4.8283137373023015
