id,accommodates,bathrooms_text,bedrooms,beds
496166,8,2.5 baths,4,4
498052,2,1 shared bath,1,1
498859,6,1.5 baths,2,5
499249,1,,1,
500886,2,1.5 baths,1,1
501041,2,1 shared bath,1,3
503460,1,1 shared bath,2,1
503585,3,1 bath,1,1
504322,2,1 bath,1,1
504362,5,1 bath,2,3
504437,2,1 bath,1,2
505231,1,,1,
505315,2,1 shared bath,1,1
505581,2,1 bath,1,1
507393,1,1 shared bath,1,1
511960,3,,1,1
512022,2,1 bath,1,1
512209,16,5.5 baths,5,12
513343,2,1 bath,1,2
513688,6,2 baths,3,4
514548,2,1 bath,1,1
517626,1,,1,1
517654,2,1 bath,1,1
518566,1,1 shared bath,1,1
519310,2,1 shared bath,1,1
521018,2,1 bath,1,1
521522,2,1 bath,1,1
523123,6,2 baths,4,4
524111,2,1 bath,,
525523,2,1 shared bath,1,2
526942,2,1 shared bath,1,1
528485,1,1 shared bath,1,1
528615,2,1 bath,1,1
530431,4,1 bath,1,4
530576,1,1 shared bath,2,1
531258,2,1 bath,1,1
531455,2,1 bath,1,2
532288,2,1 bath,1,1
533168,2,1 bath,2,2
536578,2,1 shared bath,1,1
538344,4,1 bath,1,2
538465,2,1 bath,1,1
538590,2,1 private bath,1,1
540057,6,1 bath,2,3
541725,2,1 bath,1,
543792,3,1 bath,,3
544039,4,1 bath,2,2
544331,3,1 bath,1,1
545261,3,1 private bath,1,1
545586,4,2 baths,3,3
545651,2,1 shared bath,2,1
546383,2,1 shared bath,1,1
548184,1,1 bath,1,1
548815,6,1 private bath,1,2
549873,2,1 bath,1,1
550858,5,2 baths,2,3
552502,2,1 private bath,1,2
552519,6,1 bath,2,3
552639,5,1 bath,2,3
553872,3,1 private bath,1,
553903,3,1 private bath,1,1
557487,2,1 bath,1,1
560078,2,1 bath,2,2
563442,2,1 bath,1,1
564649,2,1 bath,1,1
565814,1,1.5 baths,1,1
566712,4,1 shared bath,1,2
568684,2,1 bath,1,1
568743,5,1 bath,2,4
570218,3,1 bath,1,2
570750,6,1 bath,2,2
570797,2,0 shared baths,1,1
571564,2,1 shared bath,1,1
573612,1,1 shared bath,1,1
573671,1,1.5 shared baths,1,1
576227,2,1 shared bath,2,2
576916,4,1 bath,1,1
577243,1,1 shared bath,1,1
578267,1,1.5 shared baths,1,1
579251,5,1 bath,2,2
580323,2,1 private bath,1,1
581180,3,1 bath,1,1
581488,2,1 bath,2,1
582372,2,1 private bath,1,2
583352,2,1 bath,1,1
584122,2,1 shared bath,1,1
587519,1,1 shared bath,1,
587698,2,1 shared bath,1,1
587740,2,1.5 baths,1,1
590903,2,1 private bath,2,2
591135,1,1 shared bath,1,1
591565,4,1 bath,1,3
591710,3,1 bath,1,1
592853,2,1 bath,1,1
593000,2,1 bath,1,1
593292,2,1 private bath,1,1
594036,4,2 baths,2,2
594732,2,2 baths,1,1
596442,4,2 baths,2,4
597624,3,1 bath,1,1
597668,2,1 shared bath,1,1
599595,2,1 bath,1,1
599847,3,1 bath,1,1
600775,2,1.5 shared baths,1,1
600877,4,1 bath,2,2
602070,2,1 bath,1,1
604204,6,3 baths,2,5
606269,2,1 bath,,1
607735,2,1 bath,,2
607781,2,1 bath,,1
609213,2,1 bath,1,1
611009,5,1 bath,2,2
611156,1,1 shared bath,1,1
613528,2,1 bath,1,2
614269,2,1 bath,1,1
616249,3,1 bath,2,2
618916,3,2 baths,2,2
619144,16,1 shared bath,1,1
622410,2,1 bath,1,1
624222,4,1 bath,2,4
627432,2,1 bath,1,1
627949,4,1.5 baths,2,2
628078,2,1 bath,1,1
628183,2,1 bath,1,2
629774,2,,1,1
629855,2,1 shared bath,1,1
629949,3,1 shared bath,2,2
633276,2,1 private bath,1,1
633334,3,1 bath,1,3
634353,3,1 bath,1,1
637426,1,1 bath,1,1
638894,2,1 bath,1,1
639199,11,4.5 baths,4,6
639781,3,1 bath,1,2
640899,1,,1,1
640901,2,3 baths,1,1
640908,3,2.5 shared baths,1,3
640990,3,1 shared bath,1,1
641768,3,1 bath,1,1
643591,2,1 bath,1,1
643948,2,1 shared bath,1,1
644833,10,2.5 baths,3,7
645075,2,1 shared bath,1,1
645693,1,1 shared bath,1,1
645922,2,1 bath,1,1
645942,2,1 bath,1,1
647520,2,1 bath,1,1
647580,2,1 bath,1,1
649561,2,1 bath,1,1
649972,3,1 bath,1,1
651375,5,2 baths,2,2
651438,4,1 bath,1,2
651475,2,1 shared bath,1,1
651648,2,1 bath,1,1
654232,4,,1,1
655472,2,1 bath,1,1
655811,9,1 bath,3,3
656281,2,1 shared bath,1,1
657198,4,1 bath,2,3
657727,2,1 bath,2,2
658366,2,1 bath,1,1
658515,2,1 shared bath,1,1
658932,2,1 shared bath,1,1
659952,2,1 bath,,1
660036,1,1 private bath,1,1
663608,2,1 bath,1,1
664047,8,2.5 baths,2,3
665055,4,1 bath,2,2
665394,2,1 bath,1,1
666220,1,1 bath,1,1
666613,4,1 bath,2,2
666837,2,1 bath,,1
667375,2,1 bath,1,1
667502,6,1 bath,2,3
668691,1,1 shared bath,1,1
669774,1,1 bath,1,1
669939,3,1 private bath,2,
680104,1,1 private bath,1,1
681599,2,1 shared bath,1,1
681805,2,1 shared bath,1,2
683821,2,1 shared bath,1,1
684808,2,1 bath,1,1
684991,3,1 bath,1,2
688652,6,1 bath,2,7
689329,1,1 shared bath,1,1
690349,2,1 bath,1,1
690603,4,1 bath,2,3
690934,14,3.5 baths,5,7
695216,2,1 private bath,1,1
695465,2,Half-bath,1,1
696593,2,1 bath,1,1
698094,2,1 shared bath,1,1
698132,2,1 bath,1,1
698514,2,1 bath,1,1
698882,1,1 shared bath,1,1
699472,4,1 bath,1,2
700916,4,1 bath,1,2
703745,2,1 bath,1,1
703971,2,1 shared bath,1,1
704838,6,1 bath,2,6
705749,2,1 shared bath,1,1
705997,2,1 bath,,1
707396,3,1 bath,2,4
707736,4,1.5 baths,2,2
711635,2,1 bath,2,2
712136,2,1 shared bath,1,1
712260,4,1 private bath,2,2
713538,4,1 bath,1,2
713891,2,1 bath,2,2
714028,6,1 bath,1,6
714049,7,1 bath,2,7
715102,1,1 shared bath,1,2
717582,4,1 bath,2,2
721663,2,1 bath,1,1
721762,2,1 bath,1,1
722151,6,2 baths,3,3
722464,2,1 shared bath,1,1
723507,2,1 bath,1,1
723560,4,1 bath,1,3
725509,12,2 baths,3,5
727397,6,1 bath,2,2
727512,4,1 bath,1,2
727547,4,1 bath,1,
729841,2,1 bath,1,1
731316,2,1 bath,1,1
734749,2,1 bath,1,1
736187,1,1 bath,1,1
739239,3,1 bath,1,2
739242,3,1 bath,1,2
740754,2,1 shared bath,1,1
741154,6,1 bath,3,3
741712,2,1 bath,1,1
741783,7,1 bath,2,3
745037,2,1 bath,1,2
746393,4,1 shared bath,2,2
747029,2,1 shared bath,1,1
747605,2,1 bath,1,1
748118,2,2 baths,2,3
748233,2,1 bath,1,1
749276,6,1 bath,2,5
751913,4,1 bath,1,2
752202,3,1 bath,2,1
752366,3,1 bath,1,1
752616,4,1 bath,2,2
752783,3,1 bath,1,1
753622,1,1 shared bath,1,1
753687,4,1 bath,1,1
753991,4,1 bath,2,3
754353,1,1 bath,1,1
755703,2,1 bath,1,1
759901,1,1.5 shared baths,1,1
761606,2,1 bath,1,1
761835,2,1 private bath,1,1
762015,2,1 private bath,1,1
762145,2,1 bath,1,1
762426,4,2 baths,1,1
763600,2,1 bath,1,1
764753,6,1 bath,3,3
765315,2,1 shared bath,1,1
765563,6,2 baths,3,3
765569,4,1 bath,2,2
766542,2,1 bath,1,1
766814,1,1 bath,1,1
766964,1,1 shared bath,1,1
767286,1,1 shared bath,1,1
767562,1,2.5 shared baths,1,1
769175,1,1.5 shared baths,1,2
771430,1,1 shared bath,1,1
773844,2,1 shared bath,1,1
773885,4,1 bath,2,2
773993,2,1 shared bath,1,1
774791,1,1.5 shared baths,1,1
774899,5,1 shared bath,1,3
776257,2,1 bath,1,2
776845,1,1 shared bath,1,1
777097,3,1.5 baths,1,1
777297,6,1 bath,2,3
777327,3,1 bath,1,2
778381,2,1 shared bath,1,1
781865,3,1 bath,1,1
782063,2,1 bath,1,1
783202,3,1 bath,1,2
783341,1,1.5 baths,1,1
784088,2,1 bath,1,1
785097,2,1 shared bath,1,1
785166,4,1 bath,2,2
785978,2,1 bath,1,1
786685,6,1 bath,1,3
787060,1,1 bath,1,1
788005,4,1 bath,1,2
788035,2,1 bath,1,1
789302,4,1.5 baths,1,1
789476,2,1 shared bath,1,1
789686,2,1 bath,1,1
790953,1,1 bath,1,1
794156,2,1 bath,1,2
794281,3,1 bath,1,1
794425,4,1 bath,2,3
794427,4,1 bath,3,3
794496,2,1 shared bath,1,1
794535,3,1 bath,1,1
794567,2,1 shared bath,1,2
795641,4,1 bath,2,1
796232,2,1 bath,1,1
796490,2,1 private bath,1,1
797696,2,1 private bath,1,1
797972,2,1 bath,1,1
798008,2,1.5 baths,1,1
798429,4,1 bath,1,2
799924,2,1 bath,1,1
801281,2,1 bath,1,1
802677,3,1 bath,1,1
803778,6,2 baths,3,5
804194,2,1 shared bath,1,2
805028,4,1.5 baths,2,2
805178,2,1 private bath,1,1
805218,2,1 shared bath,1,1
805315,1,1 shared bath,1,1
808476,1,1 shared bath,2,2
